respondent_id,lhj_code,region,size,agency,supervisor_status,,pref_formats,pref_notify,pref_barriers,barriers_others,pref_location,other_topics,fam_train,prof_dev_train,pref_train_participated,pref_train_recat,pref_train_other
_101,QGZ,Region 1,Small,County Health Department,Non-supervisor,,"In-person, hands on workshops",Email,Other (please specify),Get information that I need from supervisors,Glendive,Nothing I can think of at this time,I have heard of it but not created an account.,No,NA,NA,NA
_102,KRO,Region 1,Small,County Health Department,Non-supervisor,,"In-person, hands on workshops,Colleagues observing me & providing feedback,Group meetings,Job shadowing",Email,"Location,Time of the year",NA,"Glasgow,Glendive,Miles City ,Sidney",NA,I have heard of it but not created an account.,Yes,2023 MT Public Health Summer Institute (Missoula),Summer Institute,NA
_103,NCJ,Region 2,Small,County Health Department,Non-supervisor,,"In-person, hands on workshops,Colleagues observing me & providing feedback,Lectures,Online learning (self-paced workshops),Multi-session series of trainings,Meeting one on one with a mentor,Blended (combination of online and in-person components),Toolkit / Resource Manual,Job shadowing",Email,"Location,Time of the year,Logistics of travel,Family Responsibilities",NA,"Butte,Great Falls,Havre,Helena,Kalispell ,Missoula",NA,I have created an account and taken some of the available trainings.,Yes,Confluence 2025 (Helena),Confluence,NA
_104,NCJ,Region 2,Small,County Health Department,Non-supervisor,,"In-person, hands on workshops,Online learning (live workshops),Online learning (self-paced workshops),Retreats (1 or 2-day sessions),Blended (combination of online and in-person components)","Email,Connected Community","Location,Time of the year,Logistics of travel,Family Responsibilities",NA,"Great Falls,Helena,Kalispell ,Missoula","Secondary Trauma/Burnout, Science of the Positive Framework",I have heard of it but not created an account.,Yes,"Confluence 2025 (Helena),Other (please specify)","Confluence,Other (please specify)",2025 Montana Summer Institute
_105,NCJ,Region 2,Small,County Health Department,Supervisor,,"In-person, hands on workshops,Group meetings,Online learning (self-paced workshops),Multi-session series of trainings,Blended (combination of online and in-person components)","Connected Community,Digital Newsletter","Location,Logistics of travel,Family Responsibilities,Costs",NA,"Great Falls,Havre,Helena,Other (please specify)",NA,I have created an account.,Yes,"2023 MT Public Health Summer Institute (Missoula),Confluence 2023 (Billings),Confluence 2024 (Missoula),Confluence 2025 (Helena),Montana Public Health 101,Virtual MT PHTC Trainings,APHA 2023 Annual Meeting,APHA 2024 Annual Meeting","Summer Institute,Confluence,Confluence,Confluence,Montana Public Health 101,Virtual MT PHTC Trainings,APHA Annual Meeting,APHA Annual Meeting",NA
_106,NCJ,Region 2,Small,County Health Department,Non-supervisor,,"In-person, hands on workshops,Online learning (live workshops),Online learning (self-paced workshops),Blended (combination of online and in-person components),Toolkit / Resource Manual",Email,"Location,Time of the year,Logistics of travel",NA,"Great Falls,Helena",NA,I have created an account.,Yes,2024 MT Public Health Summer Institute (Helena),Summer Institute,NA
_107,PQS,Region 4,Large,County Health Department,Non-supervisor,,"In-person, hands on workshops,Lectures,Online learning (live workshops),Online learning (self-paced workshops),Retreats (1 or 2-day sessions),Multi-session series of trainings,Toolkit / Resource Manual","Email,Digital Newsletter","Unaware of training events,Location,Costs",NA,"Bozeman,Butte,Great Falls,Helena,Missoula",NA,I have created an account.,Yes,"Confluence 2023 (Billings),Confluence 2024 (Missoula),Confluence 2025 (Helena)","Confluence,Confluence,Confluence",NA
_108,CYQ,Region 5,Small,Tribal Health Department,Supervisor,,"In-person, hands on workshops,Retreats (1 or 2-day sessions),Multi-session series of trainings",Email,"Unaware of training events,Location,Family Responsibilities",NA,"Missoula ,Other (please specify)",NA,I have heard of it but not created an account.,No,NA,NA,NA
_109,STW,Region 5,Small,County Health Department,Supervisor,,"Online learning (self-paced workshops),Toolkit / Resource Manual",Email,"Location,Logistics of travel,Family Responsibilities",NA,"Kalispell ,Missoula",NA,I have created an account and taken some of the available trainings.,Yes,2024 MT Public Health Summer Institute (Helena),Summer Institute,NA
_110,NDQ,Region 3,Medium,County Health Department,Supervisor,,"In-person, hands on workshops,Lectures,Online learning (live workshops),Retreats (1 or 2-day sessions),Blended (combination of online and in-person components)",Email,"Location,Time of the year,Can't leave department / no back up,Costs",NA,"Billings,Bozeman,Miles City",NA,I have created an account.,Yes,"2023 MT Public Health Summer Institute (Missoula),Confluence 2023 (Billings),2023 AMPHO Mentorship Program","Summer Institute,Confluence,2023 AMPHO Mentorship Program",NA
_111,NDQ,Region 3,Medium,County Health Department,Non-supervisor,,"In-person, hands on workshops",Email,Not allowed work time to participate,NA,Billings,NA,I have never heard of TRAIN Montana and do not know how to access it.,No,NA,NA,NA
_112,NCJ,Region 2,Small,County Health Department,Non-supervisor,,"In-person, hands on workshops,Group meetings,Lectures,Online learning (live workshops),Online learning (self-paced workshops),Multi-session series of trainings,Blended (combination of online and in-person components),Toolkit / Resource Manual,Job shadowing",Email,"Unaware of training events,Location,Time of the year,Family Responsibilities",NA,"Great Falls,Helena,Other (please specify)",NA,I have never heard of TRAIN Montana and do not know how to access it.,Yes,Other (please specify),Other (please specify),Perinatal Mental Health
_113,TDK,Region 1,Medium,County Health Department,Supervisor,,"In-person, hands on workshops,Retreats (1 or 2-day sessions)","Email,Digital Newsletter","Location,Logistics of travel,Family Responsibilities,Topics that do not interest me",NA,"Billings,Glasgow,Glendive,Miles City ,Sidney",NA,I have created an account and taken some of the available trainings.,Yes,"Confluence 2024 (Missoula),Montana Public Health 101,2024 MPHA Public Health Nurse Mentorship Program","Confluence,Montana Public Health 101,2024 MPHA Public Health Nurse Mentorship Program",NA
_114,TDK,Region 1,Medium,County Health Department,Non-supervisor,,"In-person, hands on workshops,Toolkit / Resource Manual",Email,"Location,Costs",NA,"Glendive,Miles City ,Sidney",NA,I have created an account.,Yes,Confluence 2024 (Missoula),Confluence,NA
_115,NDQ,Region 3,Medium,County Health Department,Supervisor,,"In-person, hands on workshops,Retreats (1 or 2-day sessions),Multi-session series of trainings,Toolkit / Resource Manual",Email,"Location,Time of the year,Topics that do not interest me,Can't leave department / no back up,Other (please specify)",Content is repetivite,"Billings,Bozeman,Great Falls,Helena,Miles City",NA,I have created an account and taken some of the available trainings.,Yes,"Confluence 2023 (Billings),Confluence 2024 (Missoula),2024 MEHA RS/SIT Mentorship Program,Other (please specify)","Confluence,Confluence,2024 MEHA RS/SIT Mentorship Program,Other (please specify)",NOWRA Annual Conference
_116,NDQ,Region 3,Medium,County Health Department,Non-supervisor,,"In-person, hands on workshops,Lectures,Online learning (live workshops),Retreats (1 or 2-day sessions),Multi-session series of trainings,Blended (combination of online and in-person components)","Email,Digital Newsletter","Unaware of training events,Location,Logistics of travel,Can't leave department / no back up,Not allowed work time to participate,Costs",NA,"Billings,Glendive,Havre,Miles City",NA,I have created an account and taken some of the available trainings.,Yes,"2023 MT Public Health Summer Institute (Missoula),2024 MT Public Health Summer Institute (Helena),Montana Public Health 101,Virtual MT PHTC Trainings","Summer Institute,Summer Institute,Montana Public Health 101,Virtual MT PHTC Trainings",NA
_117,TDK,Region 1,Medium,County Health Department,Non-supervisor,,"In-person, hands on workshops,Group meetings,Online learning (live workshops),Retreats (1 or 2-day sessions),Multi-session series of trainings,Meeting one on one with a mentor,Blended (combination of online and in-person components)","Email,Organization / Agency Websites","Unaware of training events,Location,Time of the year,Logistics of travel,Costs,Other (please specify)",MT is a large state and most trainings are usually in western MT so travel is quite a distance away,"Billings,Glasgow,Glendive,Miles City ,Sidney",NA,I have never heard of TRAIN Montana and do not know how to access it.,Yes,Other (please specify),Other (please specify),in house training during staff meetings
_118,HPF,Region 4,Large,County Health Department,Non-supervisor,,"In-person, hands on workshops,Group meetings","Email,Organization / Agency Websites","Location,Logistics of travel,Can't leave department / no back up",NA,"Billings,Bozeman,Butte,Helena",NA,I have created an account and taken some of the available trainings.,Yes,"2024 MT Public Health Summer Institute (Helena),Confluence 2025 (Helena),Montana Public Health 101","Summer Institute,Confluence,Montana Public Health 101",NA
_119,KRO,Region 1,Small,County Health Department,Non-supervisor,,"In-person, hands on workshops,Group meetings,Online learning (live workshops),Online learning (self-paced workshops),Retreats (1 or 2-day sessions),Blended (combination of online and in-person components),Toolkit / Resource Manual,Job shadowing",Email,"Location,Logistics of travel,Can't leave department / no back up,Costs",NA,"Billings,Glasgow,Great Falls,Havre,Miles City ,Sidney",NA,I have created an account and taken some of the available trainings.,Yes,Montana Public Health 101,Montana Public Health 101,NA
_120,TDK,Region 1,Medium,County Health Department,Non-supervisor,,"In-person, hands on workshops,Group meetings,Online learning (live workshops),Multi-session series of trainings,Meeting one on one with a mentor,Blended (combination of online and in-person components),Toolkit / Resource Manual","Email,Connected Community,Digital Newsletter","Location,Logistics of travel,Costs",NA,"Billings,Glasgow,Glendive,Miles City ,Sidney",NA,I have created an account and taken some of the available trainings.,Yes,Virtual MT PHTC Trainings,Virtual MT PHTC Trainings,NA
_121,TDK,Region 1,Medium,County Health Department,Non-supervisor,,"In-person, hands on workshops,Group meetings,Lectures,Online learning (live workshops),Online learning (self-paced workshops),Retreats (1 or 2-day sessions),Blended (combination of online and in-person components)",Email,"Location,Time of the year",NA,"Billings,Miles City ,Sidney",NA,I have heard of it but not created an account.,No,NA,NA,NA
_122,ZGF,Region 4,Frontier,County Health Department,Supervisor,,"In-person, hands on workshops,Retreats (1 or 2-day sessions),Blended (combination of online and in-person components)","Email,Digital Newsletter","Location,Logistics of travel,Costs",NA,"Butte,Helena",NA,I have created an account and taken some of the available trainings.,Yes,"2023 MT Public Health Summer Institute (Missoula),Confluence 2023 (Billings),Confluence 2024 (Missoula),Confluence 2025 (Helena)","Summer Institute,Confluence,Confluence,Confluence",NA
_123,QGZ,Region 1,Small,County Health Department,Non-supervisor,,"In-person, hands on workshops,Group meetings,Online learning (live workshops),Online learning (self-paced workshops),Multi-session series of trainings,Blended (combination of online and in-person components),Toolkit / Resource Manual,Job shadowing",Email,"Unaware of training events,Location,Time of the year,Logistics of travel,Family Responsibilities,Costs",NA,"Billings,Glasgow,Glendive,Miles City ,Sidney",NA,I have heard of it but not created an account.,Yes,"2023 MT Public Health Summer Institute (Missoula),Montana Public Health 101,NWCPHP Public Health Management Certificate,Virtual MT PHTC Trainings","Summer Institute,Montana Public Health 101,NWCPHP Public Health Management Certificate,Virtual MT PHTC Trainings",NA
_124,ZGF,Region 4,Frontier,County Health Department,Non-supervisor,,"Online learning (live workshops),Online learning (self-paced workshops)",Email,Other (please specify),other job responsiblities,"Butte,Missoula",NA,I have created an account and taken some of the available trainings.,Yes,"Confluence 2024 (Missoula),Montana Public Health 101","Confluence,Montana Public Health 101",NA
_125,RIP,Region 4,Frontier,County Health Department,Executive,,"In-person, hands on workshops,Online learning (live workshops),Online learning (self-paced workshops),Retreats (1 or 2-day sessions),Multi-session series of trainings,Meeting one on one with a mentor,Blended (combination of online and in-person components),Toolkit / Resource Manual,Job shadowing","Email,Connected Community,Digital Newsletter,Social media,Organization / Agency Websites","Location,Time of the year,Logistics of travel,Family Responsibilities,Can't leave department / no back up,Costs",NA,"Great Falls,Helena",NA,I have created an account and taken some of the available trainings.,Yes,"Confluence 2023 (Billings),Confluence 2025 (Helena),Virtual MT PHTC Trainings","Confluence,Confluence,Virtual MT PHTC Trainings",NA
_126,FHK,Region 1,Frontier,County Health Department,Supervisor,,"Lectures,Online learning (live workshops),Online learning (self-paced workshops),Multi-session series of trainings,Toolkit / Resource Manual","Email,Digital Newsletter","Location,Logistics of travel,Family Responsibilities",NA,"Billings,Miles City",NA,I have created an account and taken some of the available trainings.,Yes,"2023 MT Public Health Summer Institute (Missoula),2024 MT Public Health Summer Institute (Helena),Virtual MT PHTC Trainings","Summer Institute,Summer Institute,Virtual MT PHTC Trainings",NA
_127,PRF,Region 4,Medium,County Health Department,Non-supervisor,,"Lectures,Online learning (live workshops),Online learning (self-paced workshops),Retreats (1 or 2-day sessions)","Email,Connected Community","Logistics of travel,Family Responsibilities",NA,"Bozeman,Butte,Great Falls,Helena",NA,I have created an account and taken some of the available trainings.,Yes,"2023 MT Public Health Summer Institute (Missoula),Montana Public Health 101,Virtual MT PHTC Trainings","Summer Institute,Montana Public Health 101,Virtual MT PHTC Trainings",NA
_128,NCJ,Region 2,Small,County Health Department,Non-supervisor,,"In-person, hands on workshops,Online learning (live workshops),Online learning (self-paced workshops),Job shadowing","Email,Social media","Unaware of training events,Location,Time of the year,Logistics of travel,Costs",NA,"Great Falls,Helena",NA,I have heard of it but not created an account.,Yes,Other (please specify),Other (please specify),2025 Community Health Work Training
_129,WBE,Region 1,Frontier,County Health Department,Non-supervisor,,"In-person, hands on workshops,Online learning (live workshops),Retreats (1 or 2-day sessions),Multi-session series of trainings,Meeting one on one with a mentor,Blended (combination of online and in-person components)","Email,Digital Newsletter","Location,Time of the year,Logistics of travel,Family Responsibilities",NA,"Billings,Glendive,Miles City ,Sidney",NA,I have heard of it but not created an account.,Yes,"Confluence 2025 (Helena),Montana Public Health 101,Virtual MT PHTC Trainings","Confluence,Montana Public Health 101,Virtual MT PHTC Trainings",NA
_130,TDK,Region 1,Medium,County Health Department,Non-supervisor,,"In-person, hands on workshops,Lectures,Retreats (1 or 2-day sessions),Blended (combination of online and in-person components)",Email,"Location,Time of the year,Logistics of travel,Family Responsibilities",NA,"Billings,Glasgow,Glendive,Miles City ,Sidney",NA,I have never heard of TRAIN Montana and do not know how to access it.,Yes,Other (please specify),Other (please specify),Big Sky Pulmonary Conf.
_131,CYQ,Region 5,Small,Tribal Health Department,Non-supervisor,,"In-person, hands on workshops,Retreats (1 or 2-day sessions),Meeting one on one with a mentor","Email,Social media,Organization / Agency Websites","Unaware of training events,Topics that do not interest me",NA,Missoula,NA,I have never heard of TRAIN Montana and do not know how to access it.,No,NA,NA,NA
_132,KNN,Region 1,Frontier,County Health Department,Executive,,"Online learning (live workshops),Online learning (self-paced workshops),Multi-session series of trainings","Email,Digital Newsletter","Location,Logistics of travel,Costs",NA,"Glendive,Miles City",NA,I have created an account and taken some of the available trainings.,No,NA,NA,NA
_133,CYQ,Region 5,Small,Tribal Health Department,Supervisor,,"In-person, hands on workshops,Online learning (live workshops),Online learning (self-paced workshops),Multi-session series of trainings",Email,"Unaware of training events,Location,Time of the year,Family Responsibilities",NA,Missoula,Public Health Program Development that is Native American Focused,I have never heard of TRAIN Montana and do not know how to access it.,Yes,Other (please specify),Other (please specify),Breastfeeding conferences
_134,PQS,Region 4,Large,County Health Department,Non-supervisor,,"In-person, hands on workshops,Colleagues observing me & providing feedback,Group meetings",Email,"Unaware of training events,Time of the year",NA,Helena,NA,I have never heard of TRAIN Montana and do not know how to access it.,No,NA,NA,NA
_135,PRF,Region 4,Medium,County Health Department,Non-supervisor,,"In-person, hands on workshops,Group meetings,Lectures,Online learning (live workshops),Online learning (self-paced workshops),Multi-session series of trainings,Meeting one on one with a mentor,Blended (combination of online and in-person components)",Email,"Location,Logistics of travel,Topics that do not interest me,Costs",NA,"Bozeman,Butte,Great Falls,Helena,Missoula",NA,I have created an account.,Yes,"2023 MT Public Health Summer Institute (Missoula),2024 MT Public Health Summer Institute (Helena),Virtual MT PHTC Trainings","Summer Institute,Summer Institute,Virtual MT PHTC Trainings",NA
_136,JZC,Region 3,Frontier,County Health Department,Supervisor,,"In-person, hands on workshops","Email,Connected Community","Time of the year,Costs",NA,"Billings,Bozeman,Butte,Helena",NA,I have heard of it but not created an account.,Yes,"Confluence 2023 (Billings),Confluence 2024 (Missoula),UM Public Health Certificate Program ,Virtual MT PHTC Trainings","Confluence,Confluence,UM Public Health Certificate Program ,Virtual MT PHTC Trainings",NA
_137,YKE,Region 2,Small,County Health Department,Supervisor,,"In-person, hands on workshops,Group meetings,Retreats (1 or 2-day sessions),Meeting one on one with a mentor,Blended (combination of online and in-person components),Toolkit / Resource Manual","Email,Connected Community,Digital Newsletter","Unaware of training events,Costs",NA,"Great Falls,Havre",NA,I have created an account.,Yes,"2023 MT Public Health Summer Institute (Missoula),2024 MT Public Health Summer Institute (Helena),Confluence 2024 (Missoula),Confluence 2025 (Helena),ToP Facilitation Methods (Helena, June 2024),2024 NALBOH Annual Conference","Summer Institute,Summer Institute,Confluence,Confluence,2024 ToP Facilitation Methods,2024 NALBOH Annual Conference",NA
_138,CYQ,Region 5,Small,Tribal Health Department,Non-supervisor,,"In-person, hands on workshops,Group meetings",Email,Unaware of training events,NA,"Kalispell ,Missoula",NA,I have heard of it but not created an account.,Yes,"Confluence 2023 (Billings),Confluence 2024 (Missoula),Montana Public Health 101","Confluence,Confluence,Montana Public Health 101",NA
_139,NCJ,Region 2,Small,County Health Department,Non-supervisor,,"In-person, hands on workshops,Online learning (live workshops),Retreats (1 or 2-day sessions),Meeting one on one with a mentor",Email,"Location,Time of the year,Logistics of travel,Family Responsibilities",NA,"Great Falls,Helena",NA,I have created an account.,Yes,"2024 MT Public Health Summer Institute (Helena),Other (please specify)","Summer Institute,Other (please specify)","MTUPP Trainings/Conference 1x/year, Car Seat Training, MCPP Conference 1x/year, DPP 2x/year Conference/Training"
_140,LQD,Region 4,Small,County Health Department,Supervisor,,"In-person, hands on workshops",Email,"Location,Can't leave department / no back up",NA,"Bozeman,Butte,Helena",NA,I have created an account and taken some of the available trainings.,Yes,"2023 MT Public Health Summer Institute (Missoula),2024 MT Public Health Summer Institute (Helena),Confluence 2023 (Billings),Confluence 2024 (Missoula),Confluence 2025 (Helena),Montana Public Health 101,UM Public Health Certificate Program ,Virtual MT PHTC Trainings,2023 AMPHO Mentorship Program,APHA 2023 Annual Meeting,2023 NACCHO 360 Annual Conference","Summer Institute,Summer Institute,Confluence,Confluence,Confluence,Montana Public Health 101,UM Public Health Certificate Program ,Virtual MT PHTC Trainings,2023 AMPHO Mentorship Program,APHA Annual Meeting,2023 NACCHO 360 Annual Conference",NA
_141,CYQ,Region 5,Small,Tribal Health Department,Non-supervisor,,"In-person, hands on workshops,Online learning (live workshops)","Digital Newsletter,Social media",Other (please specify),first public health job started >a month ago,"Bozeman,Helena,Kalispell ,Missoula",NA,I have never heard of TRAIN Montana and do not know how to access it.,No,NA,NA,NA
_142,HPF,Region 4,Large,County Health Department,Non-supervisor,,"In-person, hands on workshops,Retreats (1 or 2-day sessions)",Email,Costs,NA,"Kalispell ,Missoula",NA,I have heard of it but not created an account.,Yes,Other (please specify),Other (please specify),CAN Conference
_143,PQS,Region 4,Large,County Health Department,Supervisor,,"In-person, hands on workshops,Group meetings,Online learning (live workshops)","Email,Digital Newsletter",Unaware of training events,NA,Helena,NA,I have never heard of TRAIN Montana and do not know how to access it.,No,NA,NA,NA
_144,HPF,Region 4,Large,County Health Department,Non-supervisor,,"Lectures,Online learning (live workshops),Online learning (self-paced workshops),Multi-session series of trainings",Email,Costs,NA,"Billings,Bozeman,Butte,Helena",NA,I have heard of it but not created an account.,Yes,"Confluence 2023 (Billings),Virtual MT PHTC Trainings,Other (please specify)","Confluence,Virtual MT PHTC Trainings,Other (please specify)",external trainings
_145,HVJ,Region 3,Medium,County Health Department,Supervisor,,"Group meetings,Online learning (live workshops),Online learning (self-paced workshops),Blended (combination of online and in-person components)",Email,"Location,Time of the year,Logistics of travel,Family Responsibilities,Can't leave department / no back up,Costs",NA,"Billings,Great Falls",NA,I have heard of it but not created an account.,Yes,"Confluence 2024 (Missoula),Confluence 2025 (Helena)","Confluence,Confluence",NA
_146,PQS,Region 4,Large,County Health Department,Non-supervisor,,"In-person, hands on workshops,Group meetings,Online learning (live workshops),Online learning (self-paced workshops),Retreats (1 or 2-day sessions),Meeting one on one with a mentor,Blended (combination of online and in-person components),Toolkit / Resource Manual,Job shadowing","Email,Organization / Agency Websites","Unaware of training events,Logistics of travel,Family Responsibilities,Costs",NA,"Bozeman,Butte,Great Falls,Helena,Missoula",NA,I have created an account.,No,NA,NA,NA
_147,HPF,Region 4,Large,County Health Department,Non-supervisor,,"In-person, hands on workshops,Online learning (live workshops),Online learning (self-paced workshops),Retreats (1 or 2-day sessions),Multi-session series of trainings,Blended (combination of online and in-person components)",Email,Other (please specify),None - no barriers,"Bozeman,Butte,Helena",NA,I have never heard of TRAIN Montana and do not know how to access it.,Yes,Other (please specify),Other (please specify),"Breastfeeding Learning Collaborative, Perinatal Mental Health Conference, Pediatric Mental Health Conference, Parent Team Training, The Human Condition (COSP)"
_148,INE,Region 5,Medium,County Health Department,Supervisor,,"In-person, hands on workshops,Group meetings,Lectures,Online learning (live workshops),Online learning (self-paced workshops),Retreats (1 or 2-day sessions),Blended (combination of online and in-person components)","Email,Digital Newsletter,Organization / Agency Websites","Location,Time of the year,Logistics of travel,Family Responsibilities,Topics that do not interest me",NA,"Great Falls,Helena,Kalispell ,Missoula",PH detention center nursing.,I have created an account and taken some of the available trainings.,Yes,"2024 MT Public Health Summer Institute (Helena),Confluence 2025 (Helena),Montana Public Health 101,Virtual MT PHTC Trainings","Summer Institute,Confluence,Montana Public Health 101,Virtual MT PHTC Trainings",NA
_149,HPF,Region 4,Large,County Health Department,Non-supervisor,,"In-person, hands on workshops,Lectures,Online learning (live workshops),Online learning (self-paced workshops),Retreats (1 or 2-day sessions),Multi-session series of trainings,Blended (combination of online and in-person components)","Email,Other (please specify)",Other (please specify),I am very fortunate to have plenty of opportunities for trainings in person and online. Thanks to the healthy Montana families program funding a lot of trainings for home visitors and for the Gallatin city county health department supporting this need,"Billings,Bozeman,Butte,Helena",NA,I have never heard of TRAIN Montana and do not know how to access it.,Yes,Other (please specify),Other (please specify),"2025 Syndemic symposium, 2023 &2024 perinatal mental health conference, 2023-2025 breastfeeding learning collaborative, 2023 &2024 child mental health symposium, 2024 great beginnings conference"
_150,INE,Region 5,Medium,County Health Department,Non-supervisor,,"In-person, hands on workshops,Online learning (live workshops),Online learning (self-paced workshops)","Email,Connected Community",Logistics of travel,NA,"Kalispell ,Missoula",NA,I have created an account and taken some of the available trainings.,Yes,"2023 MT Public Health Summer Institute (Missoula),2024 MT Public Health Summer Institute (Helena),Confluence 2023 (Billings),Confluence 2024 (Missoula),Confluence 2025 (Helena),Montana Public Health 101,Virtual MT PHTC Trainings,APHA 2024 Annual Meeting","Summer Institute,Summer Institute,Confluence,Confluence,Confluence,Montana Public Health 101,Virtual MT PHTC Trainings,APHA Annual Meeting",NA
_151,JSO,Region 3,Large,County Health Department,Non-supervisor,,"In-person, hands on workshops,Online learning (self-paced workshops),Blended (combination of online and in-person components)","Email,Organization / Agency Websites",Can't leave department / no back up,NA,Billings,NA,I have never heard of TRAIN Montana and do not know how to access it.,No,NA,NA,NA
_152,JSO,Region 3,Large,County Health Department,Non-supervisor,,"In-person, hands on workshops,Colleagues observing me & providing feedback,Retreats (1 or 2-day sessions),Meeting one on one with a mentor,Blended (combination of online and in-person components),Job shadowing","Email,Digital Newsletter",Other (please specify),I did not work here yet,Billings,NA,I have never heard of TRAIN Montana and do not know how to access it.,No,NA,NA,NA
_153,CYQ,Region 5,Small,Tribal Health Department,Non-supervisor,,"In-person, hands on workshops,Group meetings,Online learning (live workshops),Retreats (1 or 2-day sessions),Blended (combination of online and in-person components)",Email,"Unaware of training events,Time of the year",NA,"Kalispell ,Missoula",NA,I have heard of it but not created an account.,No,NA,NA,NA
_154,EUP,Region 2,Large,County Health Department,Supervisor,,"In-person, hands on workshops,Retreats (1 or 2-day sessions),Multi-session series of trainings,Blended (combination of online and in-person components)",Email,"Can't leave department / no back up,Costs",NA,"Great Falls,Helena",NA,I have created an account and taken some of the available trainings.,Yes,"Confluence 2023 (Billings),Confluence 2024 (Missoula),Confluence 2025 (Helena)","Confluence,Confluence,Confluence",NA
_155,TDK,Region 1,Medium,County Health Department,Supervisor,,"In-person, hands on workshops,Group meetings",Email,Can't leave department / no back up,NA,Sidney,NA,I have never heard of TRAIN Montana and do not know how to access it.,No,NA,NA,NA
_156,PRF,Region 4,Medium,County Health Department,Supervisor,,"In-person, hands on workshops,Multi-session series of trainings",Email,"Unaware of training events,Time of the year",NA,"Butte,Great Falls,Helena",NA,I have never heard of TRAIN Montana and do not know how to access it.,No,NA,NA,NA
_157,KNA,Region 5,Large,County Health Department,Non-supervisor,,"In-person, hands on workshops,Lectures,Online learning (live workshops),Online learning (self-paced workshops),Multi-session series of trainings,Blended (combination of online and in-person components),Toolkit / Resource Manual,Job shadowing",Email,"Location,Logistics of travel,Family Responsibilities",NA,"Butte,Helena,Kalispell ,Missoula",NA,I have never heard of TRAIN Montana and do not know how to access it.,Yes,"2024 MT Public Health Summer Institute (Helena),Virtual MT PHTC Trainings","Summer Institute,Virtual MT PHTC Trainings",NA
_158,WBW,Region 5,Large,County Health Department,Executive,,"In-person, hands on workshops,Group meetings,Lectures,Toolkit / Resource Manual","Email,Connected Community","Location,Time of the year,Can't leave department / no back up,Costs",NA,"Kalispell ,Missoula",Succession Planning,I have created an account and taken some of the available trainings.,Yes,"2023 MT Public Health Summer Institute (Missoula),Confluence 2024 (Missoula),Confluence 2025 (Helena),Montana Public Health 101,Virtual MT PHTC Trainings,APHA 2024 Annual Meeting","Summer Institute,Confluence,Confluence,Montana Public Health 101,Virtual MT PHTC Trainings,APHA Annual Meeting",NA
_159,RZY,Region 5,Large,County Health Department,Non-supervisor,,"In-person, hands on workshops,Online learning (live workshops),Online learning (self-paced workshops)",Email,"Location,Time of the year,Logistics of travel,Not allowed work time to participate,Costs",NA,Kalispell,NA,I have never heard of TRAIN Montana and do not know how to access it.,Yes,"Confluence 2023 (Billings),Virtual MT PHTC Trainings","Confluence,Virtual MT PHTC Trainings",NA
_160,PRF,Region 4,Medium,County Health Department,Non-supervisor,,"In-person, hands on workshops,Online learning (self-paced workshops),Blended (combination of online and in-person components)",Email,"Unaware of training events,Location,Time of the year,Logistics of travel,Topics that do not interest me",NA,"Butte,Helena",NA,I have created an account and taken some of the available trainings.,No,NA,NA,NA
_161,DDI,Region 1,Medium,County Health Department,Non-supervisor,,"In-person, hands on workshops,Online learning (live workshops),Retreats (1 or 2-day sessions)",Email,Logistics of travel,NA,"Glasgow,Miles City ,Sidney",Handling accounting topics.,I have created an account and taken some of the available trainings.,Yes,Montana Public Health 101,Montana Public Health 101,NA
_162,CKZ,Region 5,Large,County Health Department,Supervisor,,"In-person, hands on workshops,Group meetings,Online learning (live workshops)",Email,"Location,Time of the year,Costs",NA,"Butte,Helena,Missoula",NA,I have created an account and taken some of the available trainings.,Yes,"2023 MT Public Health Summer Institute (Missoula),Confluence 2024 (Missoula),Confluence 2025 (Helena),ToP Facilitation Methods (Helena, June 2024)","Summer Institute,Confluence,Confluence,2024 ToP Facilitation Methods",NA
_163,YLZ,Region 4,Medium,County Health Department,Executive,,"In-person, hands on workshops",Email,Topics that do not interest me,NA,"Billings,Bozeman,Miles City",NA,I have never heard of TRAIN Montana and do not know how to access it.,Yes,2024 MEHA RS/SIT Mentorship Program,2024 MEHA RS/SIT Mentorship Program,NA
_164,WBW,Region 5,Large,County Health Department,Non-supervisor,,"In-person, hands on workshops,Lectures,Retreats (1 or 2-day sessions),Multi-session series of trainings,Toolkit / Resource Manual","Email,Digital Newsletter,Organization / Agency Websites","Can't leave department / no back up,Costs",NA,"Helena,Kalispell ,Missoula",NA,I have heard of it but not created an account.,Yes,Other (please specify),Other (please specify),national WIC Conference and Great Beginnings  Great Families
_165,PRF,Region 4,Medium,County Health Department,Non-supervisor,,"Online learning (live workshops),Online learning (self-paced workshops)",Email,Logistics of travel,NA,"Butte,Helena",NA,I have created an account and taken some of the available trainings.,Yes,"2024 MT Public Health Summer Institute (Helena),UM Public Health Certificate Program ,Virtual MT PHTC Trainings","Summer Institute,UM Public Health Certificate Program ,Virtual MT PHTC Trainings",NA
