"resp_id","region","size","sup_status","current_credentials","cred_recat","current_credentials_list","credentials_interest","credentials_interest_list","credentials_interest_list_other","Degrees","assoc_degree_other","bach_degree_other","master_degree_other","degree_pursuing","pursuing_degree_asso_other","pursuing_degree_bach_other","pursuing_degree_master_other","pursuing_degree_phPhd_other","pursuing_degree_phd_other","degree_concentration_other","primary_concentration_degree","primary_concentration_degree_other","highest_degree","degree_recat"
94,"Region 1","Medium","Non-supervisor","Registered Environmental Health Specialist / Registered Sanitarian (REHS / RS)","certified",NA,"No",NA,NA,"Other associate degree (please specify),BS/BA","Environmental Studies",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Bachelors","Bachelors or higher"
95,"Region 4","Large","Non-supervisor","Not formally certified","Not formally certified",NA,"Yes","Certified in Public Health (CPH)",NA,"BS/BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Bachelors","Bachelors or higher"
96,"Region 1","Medium","Supervisor","Nurse certification (RN, LPN, NP, BSN)","certified",NA,"Yes","Certified in Public Health (CPH)",NA,"Associate's degree in nursing,BS/BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Bachelors","Bachelors or higher"
97,"Region 4","Large","Non-supervisor","Breastfeeding/Lactation Certification (CLC, CLE, CLS, or IBCLC),Registered Dietitian (RD)","certified",NA,"Yes","Certified Health Education Specialist (CHES or Master CHES),Diabetes Educator Certification (CDE)",NA,"BS/BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Bachelors","Bachelors or higher"
98,"Region 4","Large","Non-supervisor","Registered Dietitian (RD)","certified",NA,"No",NA,NA,"BS/BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Food Systems / Nutrition",NA,"Bachelors","Bachelors or higher"
99,"Region 1","Small","Non-supervisor","Not formally certified","Not formally certified",NA,"No",NA,NA,"Other associate degree (please specify)","Management",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Associates","less than Bachelors"
100,"Region 5","Small","Non-supervisor","Not formally certified","Not formally certified",NA,"Yes","Certified Health Education Specialist (CHES or Master CHES),Certified in Public Health (CPH),Physical Activity in Public Health Specialist (PAPHS)",NA,"BS/BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Bachelors","Bachelors or higher"
101,"Region 1","Small","Non-supervisor","Certified Community Health Worker","certified",NA,"No",NA,NA,"High school or equivalent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High school or equivalent","less than Bachelors"
102,"Region 1","Small","Non-supervisor","Not formally certified","Not formally certified",NA,"No",NA,NA,"High school or equivalent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High school or equivalent","less than Bachelors"
103,"Region 2","Small","Non-supervisor","Not formally certified","Not formally certified",NA,"Yes","Certified Community Health Worker,Certified Professional - Food Safety (CP-FS) and/or Certified Foodborne Outbreak Investigator,Certified in Public Health (CPH),Infection Control Certification (CIC),Registered Environmental Health Specialist / Registered Sanitarian (REHS / RS)",NA,"BS/BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Bachelors","Bachelors or higher"
104,"Region 2","Small","Non-supervisor","Not formally certified","Not formally certified",NA,"Yes","Certified Health Education Specialist (CHES or Master CHES),Certified in Public Health (CPH)",NA,"High school or equivalent,Other bachelor's degree (please specify)",NA,"Business",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Bachelors","Bachelors or higher"
105,"Region 2","Small","Supervisor","Not formally certified","Not formally certified",NA,"Yes","Certified in Public Health (CPH)",NA,"MPH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masters or higher","Bachelors or higher"
106,"Region 2","Small","Non-supervisor","Breastfeeding/Lactation Certification (CLC, CLE, CLS, or IBCLC),Nurse certification (RN, LPN, NP, BSN)","certified",NA,"No",NA,NA,"High school or equivalent,BSN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bachelors","Bachelors or higher"
107,"Region 4","Large","Non-supervisor","Not formally certified","Not formally certified",NA,"Yes","Certified Community Health Worker,Certified Health Education Specialist (CHES or Master CHES),Certified in Public Health (CPH)",NA,"High school or equivalent,BS/BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Bachelors","Bachelors or higher"
108,"Region 5","Small","Supervisor","Nurse certification (RN, LPN, NP, BSN)","certified",NA,"No",NA,NA,"Other master's degree (please specify)",NA,NA,"MSN-PH",NA,NA,NA,NA,NA,NA,"Yes","Community / Population Health",NA,"Masters or higher","Bachelors or higher"
109,"Region 5","Small","Supervisor","Nurse certification (RN, LPN, NP, BSN)","certified",NA,"No",NA,NA,"BSN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bachelors","Bachelors or higher"
110,"Region 3","Medium","Supervisor","Nurse certification (RN, LPN, NP, BSN)","certified",NA,"Yes","Certified Health Education Specialist (CHES or Master CHES),Certified in Public Health (CPH),Nurse certification (RN, LPN, NP, BSN)",NA,"BSN,I am currently pursuing a degree",NA,NA,NA,"MPH",NA,NA,NA,NA,NA,NA,NA,NA,"Bachelors","Bachelors or higher"
111,"Region 3","Medium","Non-supervisor","Nurse certification (RN, LPN, NP, BSN),Other Certification (please specify)","certified","FNP","Yes","Certified in Public Health (CPH)",NA,"DNP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masters or higher","Bachelors or higher"
112,"Region 2","Small","Non-supervisor","Nurse certification (RN, LPN, NP, BSN)","certified",NA,"No",NA,NA,"High school or equivalent,BSN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bachelors","Bachelors or higher"
113,"Region 1","Medium","Supervisor","Nurse certification (RN, LPN, NP, BSN)","certified",NA,"No",NA,NA,"BSN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bachelors","Bachelors or higher"
114,"Region 1","Medium","Non-supervisor","Not formally certified","Not formally certified",NA,"No",NA,NA,"High school or equivalent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High school or equivalent","less than Bachelors"
115,"Region 3","Medium","Supervisor","Registered Environmental Health Specialist / Registered Sanitarian (REHS / RS),Other Certification (please specify)","certified","CPST","Yes","Certified Professional - Food Safety (CP-FS) and/or Certified Foodborne Outbreak Investigator,Certified in Public Health (CPH),Infection Control Certification (CIC),Laboratory Certification",NA,"High school or equivalent,BS/BA,Other master's degree (please specify)",NA,NA,"Master's in Business Management",NA,NA,NA,NA,NA,NA,"No",NA,NA,"Masters or higher","Bachelors or higher"
116,"Region 3","Medium","Non-supervisor","Other Certification (please specify)","certified","CMAA","Yes","Certified in Public Health (CPH),Nurse certification (RN, LPN, NP, BSN)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"less than Bachelors"
117,"Region 1","Medium","Non-supervisor","Not formally certified","Not formally certified",NA,"No",NA,NA,"High school or equivalent,Other associate degree (please specify)","Business Management",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Associates","less than Bachelors"
118,"Region 4","Large","Non-supervisor","Not formally certified","Not formally certified",NA,"No",NA,NA,"High school or equivalent,BS/BA,MA/MS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Epidemiology",NA,"Masters or higher","Bachelors or higher"
119,"Region 1","Small","Non-supervisor","Nurse certification (RN, LPN, NP, BSN)","certified",NA,"Yes","Breastfeeding/Lactation Certification (CLC, CLE, CLS, or IBCLC),Diabetes Educator Certification (CDE)",NA,"BSN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bachelors","Bachelors or higher"
120,"Region 1","Medium","Non-supervisor","Breastfeeding/Lactation Certification (CLC, CLE, CLS, or IBCLC),Nurse certification (RN, LPN, NP, BSN)","certified",NA,"No",NA,NA,"BSN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bachelors","Bachelors or higher"
121,"Region 1","Medium","Non-supervisor","Certified Community Health Worker","certified",NA,"No",NA,NA,"High school or equivalent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High school or equivalent","less than Bachelors"
122,"Region 4","Frontier","Supervisor","Nurse certification (RN, LPN, NP, BSN)","certified",NA,"No",NA,NA,"Associate's degree in nursing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Associates","less than Bachelors"
123,"Region 1","Small","Non-supervisor","Nurse certification (RN, LPN, NP, BSN)","certified",NA,"Yes","Breastfeeding/Lactation Certification (CLC, CLE, CLS, or IBCLC),Certified Health Education Specialist (CHES or Master CHES),Certified in Public Health (CPH),Infection Control Certification (CIC),Physical Activity in Public Health Specialist (PAPHS)",NA,"BSN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bachelors","Bachelors or higher"
124,"Region 4","Frontier","Non-supervisor","Not formally certified","Not formally certified",NA,"No",NA,NA,"High school or equivalent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High school or equivalent","less than Bachelors"
125,"Region 4","Frontier","Executive","Nurse certification (RN, LPN, NP, BSN)","certified",NA,"No",NA,NA,"Associate's degree in nursing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Associates","less than Bachelors"
126,"Region 1","Frontier","Supervisor","Nurse certification (RN, LPN, NP, BSN)","certified",NA,"No",NA,NA,"Associate's degree in nursing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Associates","less than Bachelors"
127,"Region 4","Medium","Non-supervisor","Breastfeeding/Lactation Certification (CLC, CLE, CLS, or IBCLC),Nurse certification (RN, LPN, NP, BSN)","certified",NA,"Yes","Breastfeeding/Lactation Certification (CLC, CLE, CLS, or IBCLC),Certified in Public Health (CPH),Nurse certification (RN, LPN, NP, BSN)",NA,"High school or equivalent,Associate's degree in nursing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Associates","less than Bachelors"
128,"Region 2","Small","Non-supervisor","Not formally certified","Not formally certified",NA,"Yes","Certified Community Health Worker,Certified in Public Health (CPH)",NA,"High school or equivalent,I am currently pursuing a degree",NA,NA,NA,"BS/BA",NA,NA,NA,NA,NA,NA,NA,NA,"High school or equivalent","less than Bachelors"
129,"Region 1","Frontier","Non-supervisor","Nurse certification (RN, LPN, NP, BSN)","certified",NA,"No",NA,NA,"High school or equivalent,Associate's degree in nursing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Associates","less than Bachelors"
130,"Region 1","Medium","Non-supervisor","Other Certification (please specify)","certified","Registered Respiratory Therapist","No",NA,NA,"Other associate degree (please specify)","Respiratory Therapy",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Associates","less than Bachelors"
131,"Region 5","Small","Non-supervisor","Certified Health Education Specialist (CHES or Master CHES)","certified",NA,"No",NA,NA,"Other associate degree (please specify)","2- AA's",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Associates","less than Bachelors"
132,"Region 1","Frontier","Executive","Nurse certification (RN, LPN, NP, BSN)","certified",NA,"No",NA,NA,"Associate's degree in nursing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Associates","less than Bachelors"
133,"Region 5","Small","Supervisor","Breastfeeding/Lactation Certification (CLC, CLE, CLS, or IBCLC),Other Certification (please specify)","certified","CPS","Yes","Certified Health Education Specialist (CHES or Master CHES)",NA,"BS/BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Community / Population Health,Health Education,Maternal, Child, and Adolescent Health,Program Planning and Evaluation",NA,"Bachelors","Bachelors or higher"
134,"Region 4","Large","Non-supervisor","Not formally certified","Not formally certified",NA,"No",NA,NA,"BS/BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Bachelors","Bachelors or higher"
135,"Region 4","Medium","Non-supervisor","Other Certification (please specify)","certified","Certified Healthcare Emergency Coordinator II","Yes","Certified in Public Health (CPH),Registered Environmental Health Specialist / Registered Sanitarian (REHS / RS)",NA,"Other associate degree (please specify)","AA Fire Science",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Associates","less than Bachelors"
136,"Region 3","Frontier","Supervisor","Certified in Public Health (CPH),Nurse certification (RN, LPN, NP, BSN)","certified",NA,"No",NA,NA,"High school or equivalent,BSN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bachelors","Bachelors or higher"
137,"Region 2","Small","Supervisor","Not formally certified","Not formally certified",NA,"Yes","Certified in Public Health (CPH),Licensed Clinical Social Worker (LCSW)",NA,"BS/BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Bachelors","Bachelors or higher"
138,"Region 5","Small","Non-supervisor","Certified Health Education Specialist (CHES or Master CHES)","certified",NA,"Yes","Certified Health Education Specialist (CHES or Master CHES),Certified in Public Health (CPH)",NA,"BS/BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Health Education",NA,"Bachelors","Bachelors or higher"
139,"Region 2","Small","Non-supervisor","Not formally certified","Not formally certified",NA,"Yes","Diabetes Educator Certification (CDE),Physical Activity in Public Health Specialist (PAPHS)",NA,"High school or equivalent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High school or equivalent","less than Bachelors"
140,"Region 4","Small","Supervisor","Not formally certified","Not formally certified",NA,"Yes","Certified in Public Health (CPH)",NA,"BS/BA,MPA,MPH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Community / Population Health",NA,"Masters or higher","Bachelors or higher"
141,"Region 5","Small","Non-supervisor","Other Certification (please specify)","certified","CCMA","Yes","Nurse certification (RN, LPN, NP, BSN),Physician Assistant - Certified (PA-C)",NA,"High school or equivalent,Other associate degree (please specify)","General Science",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Associates","less than Bachelors"
142,"Region 4","Large","Non-supervisor","Not formally certified","Not formally certified",NA,"Yes","Licensed Clinical Social Worker (LCSW)",NA,"MA/MS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Masters or higher","Bachelors or higher"
143,"Region 4","Large","Supervisor","Certified in Public Health (CPH)","certified",NA,"No",NA,NA,"BS/BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Bachelors","Bachelors or higher"
144,"Region 4","Large","Non-supervisor","Not formally certified","Not formally certified",NA,"No",NA,NA,"MA/MS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Masters or higher","Bachelors or higher"
145,"Region 3","Medium","Supervisor","Nurse certification (RN, LPN, NP, BSN)","certified",NA,"No",NA,NA,"BSN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bachelors","Bachelors or higher"
146,"Region 4","Large","Non-supervisor","Breastfeeding/Lactation Certification (CLC, CLE, CLS, or IBCLC),Certified Community Health Worker,Certified in Public Health (CPH)","certified",NA,"Yes","Certified Health Education Specialist (CHES or Master CHES),Certified Professional - Food Safety (CP-FS) and/or Certified Foodborne Outbreak Investigator,Laboratory Certification,Registered Environmental Health Specialist / Registered Sanitarian (REHS / RS)",NA,"BS/BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Bachelors","Bachelors or higher"
147,"Region 4","Large","Non-supervisor","Breastfeeding/Lactation Certification (CLC, CLE, CLS, or IBCLC),Other Certification (please specify)","certified","HS-BCP, PMH-C, Certified Mediator","No",NA,NA,"MA/MS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Masters or higher","Bachelors or higher"
148,"Region 5","Medium","Supervisor","Other Certification (please specify)","certified","Personal Trainer","Yes","Certified Health Education Specialist (CHES or Master CHES),Certified in Public Health (CPH),Physical Activity in Public Health Specialist (PAPHS),Registered Dietitian (RD)",NA,"BS/BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Bachelors","Bachelors or higher"
149,"Region 4","Large","Non-supervisor","Breastfeeding/Lactation Certification (CLC, CLE, CLS, or IBCLC),Nurse certification (RN, LPN, NP, BSN),Other Certification (please specify)","certified","Perinatal mental health certification (PMH-C); child passenger safety technician","Yes","Nurse certification (RN, LPN, NP, BSN)",NA,"High school or equivalent,BS/BA,BSN",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Bachelors","Bachelors or higher"
150,"Region 5","Medium","Non-supervisor","Not formally certified","Not formally certified",NA,"Yes","Certified Community Health Worker,Certified Health Education Specialist (CHES or Master CHES),Certified in Public Health (CPH)",NA,"Other associate degree (please specify)","AS",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Associates","less than Bachelors"
151,"Region 3","Large","Non-supervisor","Not formally certified","Not formally certified",NA,"No",NA,NA,"High school or equivalent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High school or equivalent","less than Bachelors"
152,"Region 3","Large","Non-supervisor","Other Certification (please specify)","certified","Hazmat/Rescue","Yes","Registered Environmental Health Specialist / Registered Sanitarian (REHS / RS)",NA,"High school or equivalent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High school or equivalent","less than Bachelors"
153,"Region 5","Small","Non-supervisor","Other Certification (please specify)","certified","Health Coach","Yes","Other Certification (please specify)","Somatic Therapy","BS/BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Bachelors","Bachelors or higher"
154,"Region 2","Large","Supervisor","Registered Environmental Health Specialist / Registered Sanitarian (REHS / RS)","certified",NA,"Yes","Certified Professional - Food Safety (CP-FS) and/or Certified Foodborne Outbreak Investigator,Certified in Public Health (CPH)",NA,"BS/BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Bachelors","Bachelors or higher"
155,"Region 1","Medium","Supervisor","Not formally certified","Not formally certified",NA,"No",NA,NA,"High school or equivalent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High school or equivalent","less than Bachelors"
156,"Region 4","Medium","Supervisor","Registered Environmental Health Specialist / Registered Sanitarian (REHS / RS)","certified",NA,"No",NA,NA,"MA/MS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Masters or higher","Bachelors or higher"
157,"Region 5","Large","Non-supervisor","Laboratory Certification,Registered Environmental Health Specialist / Registered Sanitarian (REHS / RS)","certified",NA,"Yes","Certified Health Education Specialist (CHES or Master CHES),Certified Professional - Food Safety (CP-FS) and/or Certified Foodborne Outbreak Investigator,Certified in Public Health (CPH)",NA,"High school or equivalent,BS/BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Bachelors","Bachelors or higher"
158,"Region 5","Large","Executive","Nurse certification (RN, LPN, NP, BSN),Other Certification (please specify)","certified","Child Passenger Safety Technician","No",NA,NA,"BSN,Other bachelor's degree (please specify),MPH",NA,"Biology",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Masters or higher","Bachelors or higher"
159,"Region 5","Large","Non-supervisor","Registered Environmental Health Specialist / Registered Sanitarian (REHS / RS)","certified",NA,"No",NA,NA,"MEd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masters or higher","Bachelors or higher"
160,"Region 4","Medium","Non-supervisor","Not formally certified","Not formally certified",NA,"No",NA,NA,"BS/BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Bachelors","Bachelors or higher"
161,"Region 1","Medium","Non-supervisor","Not formally certified","Not formally certified",NA,"No",NA,NA,"High school or equivalent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High school or equivalent","less than Bachelors"
162,"Region 5","Large","Supervisor","Nurse certification (RN, LPN, NP, BSN)","certified",NA,"No",NA,NA,"Associate's degree in nursing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Associates","less than Bachelors"
163,"Region 4","Medium","Executive","Registered Environmental Health Specialist / Registered Sanitarian (REHS / RS)","certified",NA,"No",NA,NA,"High school or equivalent,BS/BA,MA/MS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Masters or higher","Bachelors or higher"
164,"Region 5","Large","Non-supervisor","Breastfeeding/Lactation Certification (CLC, CLE, CLS, or IBCLC)","certified",NA,"Yes","Certified Community Health Worker,Certified Health Education Specialist (CHES or Master CHES),Certified in Public Health (CPH)",NA,"Other associate degree (please specify)","Nutrition",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Associates","less than Bachelors"
165,"Region 4","Medium","Non-supervisor","Certified in Public Health (CPH),Nurse certification (RN, LPN, NP, BSN)","certified",NA,"Yes","Certified Health Education Specialist (CHES or Master CHES),Diabetes Educator Certification (CDE)",NA,"High school or equivalent,Associate's degree in nursing,BS/BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Bachelors","Bachelors or higher"
166,"Region 2","Medium","Supervisor","Certified in Public Health (CPH)","certified",NA,"Yes","Certified Community Health Worker,Certified Health Education Specialist (CHES or Master CHES)",NA,"BS/BA,MPH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Health Communication,Health Education,Program Planning and Evaluation",NA,"Masters or higher","Bachelors or higher"
167,"Region 1","Medium","Non-supervisor","Not formally certified","Not formally certified",NA,"Yes","Certified Health Education Specialist (CHES or Master CHES)",NA,"Other associate degree (please specify),BS/BA","General Studies",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Bachelors","Bachelors or higher"
168,"Region 1","Medium","Supervisor","Nurse certification (RN, LPN, NP, BSN)","certified",NA,"No",NA,NA,"BSN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bachelors","Bachelors or higher"
169,"Region 2","Small","Non-supervisor","Not formally certified","Not formally certified",NA,"No",NA,NA,"BS/BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Bachelors","Bachelors or higher"
170,"Region 2","Frontier","Supervisor","Nurse certification (RN, LPN, NP, BSN)","certified",NA,"No",NA,NA,"BSN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bachelors","Bachelors or higher"
171,"Region 2","Small","Non-supervisor","Not formally certified","Not formally certified",NA,"Yes","Certified Health Education Specialist (CHES or Master CHES),Certified in Public Health (CPH),Dental Public Health - Board Certification (DPH),Diabetes Educator Certification (CDE),Physical Activity in Public Health Specialist (PAPHS),Preventive Medicine Physician Board Certification",NA,"High school or equivalent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High school or equivalent","less than Bachelors"
172,"Region 2","Small","Supervisor","Breastfeeding/Lactation Certification (CLC, CLE, CLS, or IBCLC),Nurse certification (RN, LPN, NP, BSN)","certified",NA,"No",NA,NA,"MSN,I am currently pursuing a degree",NA,NA,NA,"PhD/ScD/other non-public health doctorate (please specify)",NA,NA,NA,NA,"APRN",NA,NA,NA,"Masters or higher","Bachelors or higher"
173,"Region 3","Medium","Non-supervisor","Nurse certification (RN, LPN, NP, BSN),Other Certification (please specify)","certified","Public Health Management Certification","No",NA,NA,"High school or equivalent,Associate's degree in nursing,BSN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bachelors","Bachelors or higher"
174,"Region 2","Small","Non-supervisor","Other Certification (please specify)","certified","Certified Prevention Specialist","Yes","Certified Community Health Worker",NA,"High school or equivalent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High school or equivalent","less than Bachelors"
175,"Region 2","Small","Non-supervisor","Breastfeeding/Lactation Certification (CLC, CLE, CLS, or IBCLC),Nurse certification (RN, LPN, NP, BSN)","certified",NA,"Yes","Certified in Public Health (CPH),Infection Control Certification (CIC),Physician Assistant - Certified (PA-C)",NA,"Associate's degree in nursing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Associates","less than Bachelors"
176,"Region 3","Large","Executive","Not formally certified","Not formally certified",NA,"Yes","Certified in Public Health (CPH),Other Certification (please specify)","FACHE in American College of Healthcare Executives","MBA,MHSA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masters or higher","Bachelors or higher"
177,"Region 2","Large","Non-supervisor","Not formally certified","Not formally certified",NA,"Yes","Registered Environmental Health Specialist / Registered Sanitarian (REHS / RS)",NA,"BS/BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Bachelors","Bachelors or higher"
178,"Region 4","Large","Non-supervisor","Not formally certified","Not formally certified",NA,"Yes","Breastfeeding/Lactation Certification (CLC, CLE, CLS, or IBCLC)",NA,"Other associate degree (please specify)","Human Services",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Associates","less than Bachelors"
179,"Region 2","Small","Non-supervisor","Other Certification (please specify)","certified","AEMT","No",NA,NA,"High school or equivalent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High school or equivalent","less than Bachelors"
180,"Region 2","Small","Non-supervisor","Breastfeeding/Lactation Certification (CLC, CLE, CLS, or IBCLC)","certified",NA,"Yes","Breastfeeding/Lactation Certification (CLC, CLE, CLS, or IBCLC)",NA,"BS/BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Bachelors","Bachelors or higher"
181,"Region 1","Medium","Non-supervisor","Not formally certified","Not formally certified",NA,"No",NA,NA,"BS/BA,MA/MS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Masters or higher","Bachelors or higher"
182,"Region 3","Medium","Non-supervisor","Not formally certified","Not formally certified",NA,"No",NA,NA,"Other associate degree (please specify)","AAS",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Associates","less than Bachelors"
183,"Region 1","Medium","Non-supervisor","Not formally certified","Not formally certified",NA,"Yes","Certified Health Education Specialist (CHES or Master CHES),Certified in Public Health (CPH)",NA,"Associate's degree in nursing,Other associate degree (please specify)","HIT",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Associates","less than Bachelors"
184,"Region 4","Large","Non-supervisor","Other Certification (please specify)","certified","BS in Elementary Education - Currently licensed k-8","Yes","Breastfeeding/Lactation Certification (CLC, CLE, CLS, or IBCLC),Other Certification (please specify)","Dula","BS/BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Bachelors","Bachelors or higher"
185,"Region 4","Large","Non-supervisor","Not formally certified","Not formally certified",NA,"No",NA,NA,"I am currently pursuing a degree",NA,NA,NA,"Other bachelor's degree (please specify)",NA,"BS",NA,NA,NA,NA,NA,NA,NA,"less than Bachelors"
186,"Region 4","Large","Non-supervisor","Not formally certified","Not formally certified",NA,"Yes","Certified Community Health Worker,Certified Health Education Specialist (CHES or Master CHES),Certified in Public Health (CPH),Infection Control Certification (CIC),Registered Environmental Health Specialist / Registered Sanitarian (REHS / RS)",NA,"BS/BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Bachelors","Bachelors or higher"
187,"Region 4","Large","Supervisor","Not formally certified","Not formally certified",NA,"No",NA,NA,"Other associate degree (please specify)","Accounting",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Associates","less than Bachelors"
188,"Region 4","Large","Non-supervisor","Not formally certified","Not formally certified",NA,"No",NA,NA,"High school or equivalent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High school or equivalent","less than Bachelors"
